"","LYL7","LYL8","LYL9","LYL10","LYL11","LYL12"
"ASV158",0.000904372,0.000275244,0.000589808,0.000471846,0.001140296,0.000275244
"ASV5561",0.00145486,0,0,0.002949041,0.002398553,0
"ASV424",0.000314564,0.00074709,0.001336898,0.001100975,0.000432526,0.000432526
"ASV300",0,0.001022334,0,0.000353885,0.00070777,0.001140296
"ASV266",0,0.002083989,0,0,0.001100975,0.000668449
"ASV496",0.001336898,0.00070777,0.000983014,0.001179616,0.001100975,0.000786411
"ASV363",0.001100975,0.001218937,0,0.000786411,0.000786411,0.000668449
"ASV878",0.000865052,0.000511167,0.000589808,0.001140296,0.000314564,0.001022334
"ASV248",0.001297578,0,0.000471846,0.000550488,0.00070777,0
"ASV332",0.00074709,0.000550488,0.000550488,0.000904372,0.000432526,0.000471846
"ASV352",0.000983014,0,0.000943693,0.001808745,0,0
"ASV4080",0,0.001336898,0,0.000589808,0.002044668,0.000904372
"ASV4079",0,0,0.003342246,0,0,0.001572822
"ASV506",0.000589808,0.000511167,0.00070777,0.000471846,0.000353885,0.000196603
"ASV483",0.000550488,0,0,0,0.000471846,0.001061655
"ASV468",0.00070777,0.000432526,0.000904372,0.000235923,0.000432526,0.000353885
"ASV438",0.001297578,0,0.001612142,0.000393205,0.001494181,0.001651463
"ASV435",0.000825731,0.000511167,0.000550488,0.000314564,0.000589808,0.000353885
"ASV461",0,0.001140296,0.000668449,0.000550488,0.000786411,0.000904372
"ASV567",0.000786411,0.000235923,0.000629129,0.001061655,0.000511167,0.000275244
"ASV362",0.000432526,0.000865052,0.000393205,0.000511167,0.000235923,0.000432526
"ASV265",0,0.000432526,0,0.000668449,0.000157282,0.001061655
"ASV381",0.000275244,0.000235923,0.000786411,0.000393205,0.000353885,0.000393205
"ASV283",0.000393205,0.000196603,0.000550488,0.000432526,0.000157282,0.000393205
"ASV194",0,0,0,0.001179616,0.001022334,0
"ASV492",0.000511167,0,0.000825731,0.000432526,0.000983014,0.000314564
"ASV591",0.002477194,0,0,0,0.000471846,0
"ASV357",0.00070777,0,0.000589808,0.000393205,0.000393205,0.000393205
"ASV421",0.000550488,0.000432526,0.000432526,0.000393205,0.000471846,0.000589808
"ASV549",0.000786411,0.001140296,0,0.000589808,0.000511167,0.000235923
"ASV508",0.000393205,0.000157282,0.000393205,0.001100975,0.000589808,0.000275244
"ASV349",0.000235923,0.00070777,0.000353885,0.00074709,7.86e-05,0.000904372
"ASV191",0,0.001690783,0,0.001022334,0.000668449,0
"ASV408",0.000550488,0.000865052,0,0,0,0.000511167
"ASV755",0.000275244,0.000235923,0.000353885,0.000904372,0.00074709,0.00070777
"ASV584",0.000550488,0,0.00074709,0.001415539,0.00074709,0.000353885
"ASV215",0.000511167,0.000511167,0.000511167,0.000353885,0,0.000235923
"ASV335",0.00074709,0.000511167,0,0.001061655,0.000471846,0.000786411
"ASV919",0.000865052,0,0.000471846,0.000865052,0.001140296,0.000825731
"ASV229",0,0.000943693,0.000314564,0,0.000589808,0
"ASV3242",0,0.002516515,0,0,0.002005348,0.000904372
"ASV455",0,0.001022334,0,0,0.000550488,0.000275244
"ASV596",0.000550488,0.000471846,0.000825731,0.000825731,0.000432526,0.000904372
"ASV306",0.00074709,0,0.001808745,0,0.000589808,0
"ASV411",0.000196603,0,0,0.000196603,0.000629129,0.000668449
"ASV393",0,0,0,0,0.001966027,0.000471846
"ASV568",0.000275244,0.000471846,0.000825731,0.00070777,0.000629129,0
"ASV4816",0.000943693,0,0.000432526,0,0,0.002359232
"ASV769",0,0.001415539,0,0,0,0
"ASV247",0.000471846,0.000314564,0,0,0.00070777,0.001297578
"ASV747",0.000353885,0.001179616,0,0,0,0.000629129
"ASV510",0.000471846,0.000629129,0.001061655,0.000550488,0.000314564,0.000629129
"ASV389",0.000629129,0.00070777,0.00074709,0.000353885,0.000353885,0.000393205
"ASV235",0.000629129,0,0,0.000786411,0,0
"ASV2379",0,0,0,0.000314564,0.000825731,0.001415539
"ASV608",0.000432526,0.000432526,0.00074709,0.000157282,0.00074709,0.000196603
"ASV563",0.000432526,0.000393205,0.000432526,0,0.000589808,0.000668449
"ASV539",0.000825731,0.000589808,0.000157282,0.000393205,0.000196603,0.000511167
"ASV380",0.000432526,0.00070777,0.000511167,0.000393205,0.000314564,0
"ASV685",0,7.86e-05,0,0.00216263,0.000157282,0.000629129
"ASV450",0.00070777,0.000393205,0.001022334,0.000904372,0,0.000432526
"ASV334",0.000393205,0.000825731,0,0.000511167,0,0.000314564
"ASV233",0,0.000589808,0.000275244,0.000275244,0.000393205,0.000471846
"ASV378",0.000353885,0.000668449,0.000629129,7.86e-05,0.000117962,0.000511167
"ASV505",0.000589808,0.000629129,0.000511167,0.000196603,0.000275244,0.000353885
"ASV366",0.000629129,0.000589808,0,0,0.000786411,0.000432526
"ASV481",0,0.000825731,0,0,0.001061655,0.000393205
"ASV4078",0,0,0,0,0.001258257,0.001179616
"ASV397",0.000157282,0.000786411,0.000786411,0.000432526,0,0.000393205
"ASV631",0.000904372,0.00074709,0.000668449,0.00074709,0.000786411,0.000865052
"ASV348",0,0.000393205,0.000550488,0.000275244,0.000314564,0.000314564
"ASV754",0,7.86e-05,0.000550488,0.000235923,0.000157282,0.002437874
"ASV493",0,0.000157282,0,0,0.001022334,0.000235923
"ASV808",0.000314564,0.000314564,0.000393205,7.86e-05,0.000275244,0.00220195
"ASV522",0.000471846,0.000943693,0.000275244,0.000117962,0.000589808,0.000511167
"ASV527",0.00074709,0.000393205,0.000668449,0.000786411,0,0
"ASV361",0.000235923,0.000196603,0.000668449,0.000196603,0.000314564,0.000275244
"ASV440",0,0.002044668,0,0,0,0
"ASV834",0,0.001336898,0,0,0,0
"ASV718",0.001336898,0.000235923,7.86e-05,0.000511167,0.000353885,0
"ASV369",0.000550488,0.000668449,0.000235923,0.000275244,0.000511167,0.000275244
"ASV594",0.001100975,0,0.000353885,0,0.000511167,0.000471846
"ASV1250",0.00074709,0.000589808,0.000943693,0.000589808,0.000589808,0.000393205
"ASV456",0,0.000471846,0.000589808,0.00070777,0.000196603,0.000157282
"ASV295",0.000983014,0.000235923,0,0.000432526,3.93e-05,0.000275244
"ASV547",0,0,0.000865052,0,0.000353885,0.000432526
"ASV866",0.000353885,7.86e-05,0.000668449,0.000511167,0.000471846,0.000353885
"ASV610",0.000235923,0.000353885,0,0.00070777,0.000275244,0.000275244
"ASV365",0.000589808,0.000393205,0.000550488,0.000235923,0,0
"ASV711",0.000432526,0.000550488,0.000235923,0.000786411,0.000393205,7.86e-05
"ASV341",0.000786411,0.001140296,0,0,0.000196603,0
"ASV548",0,0.000353885,0.000353885,0.000314564,0.000157282,0.000471846
"ASV609",0.000629129,0,0.000432526,0.000471846,0.00074709,0.000353885
"ASV2384",0,0,0,0.001022334,0.000511167,0
"ASV882",0.000235923,0,0.000235923,0.000629129,0.001022334,0.000117962
"ASV413",0,0.00070777,0,0.000393205,0.000157282,0.000353885
"ASV418",0.000943693,0,0.001612142,0,0.000983014,0
"ASV5560",0.00070777,0.001336898,0,0,0.001140296,0
"ASV383",0,0,0.001808745,0,0,0.000471846
"ASV595",0.000393205,0.000904372,0.000393205,0.000353885,0.000471846,3.93e-05
"ASV442",0.00070777,0,0.001100975,0,0.000471846,0
"ASV603",0.000471846,0,0.000471846,0.001140296,0.000471846,0.000393205
"ASV533",0,0,0.000943693,0,0.001494181,0.000629129
"ASV556",0.000235923,0.000432526,0.000275244,0,0.00074709,0.000196603
"ASV1025",0.000196603,0,0.000432526,0.000471846,0.000196603,0.000393205
"ASV343",0.001061655,0.000904372,0,0,0,0
"ASV2419",0.000196603,0,0,0.000157282,0,0.000983014
"ASV716",0,0,0.000117962,0.001297578,0,0
"ASV679",0.000550488,0.00070777,0.000275244,0.000314564,0.000511167,0.000589808
"ASV600",0,0,0.000668449,0.000117962,0,0.000353885
"ASV274",0,0,0,0.000511167,0.000511167,0
"ASV429",0.000904372,0.000393205,0.000432526,0.000157282,0.001022334,0
"ASV536",0,0,0.000589808,0,0.001494181,0.000511167
"ASV803",0,0.000393205,0,0.000196603,0.000235923,0.000550488
"ASV4817",0,0.00216263,0,0,0,0.00216263
"ASV351",0.000589808,0.000471846,0.000668449,0,0,0.000353885
"ASV1236",0.001022334,0,0,0.000668449,0.000786411,0.000314564
"ASV675",0.001179616,0,0,0.001140296,0.000786411,0.00074709
"ASV3213",0.003067002,0,0,0,0,0
"ASV3250",0,0.001258257,0.00074709,0.000904372,0.000589808,0
"ASV757",0.000668449,0.000275244,0.000511167,0,0.000629129,0.000393205
"ASV906",0,0.000353885,0.000314564,0.001061655,0.000235923,0.000275244
"ASV490",0.000196603,0.000471846,0.000471846,0.000314564,0,0.000117962
"ASV439",0,0,0,0.000629129,0.00074709,0
"ASV815",0.000393205,0.000275244,0,0,0.00070777,0.000511167
"ASV558",0.000157282,0.000275244,0.000550488,0.000865052,0.000196603,0.000235923
"ASV633",0.000353885,0.000432526,0,0.000275244,0.000196603,0.000275244
"ASV434",0.000550488,0.000904372,0,0,0.000235923,0.000235923
"ASV532",0.000393205,0.000511167,0,0,0.001140296,0.000393205
"ASV670",0,0.000353885,0,0.000825731,0.001376219,0
"ASV2434",0.000589808,0.000393205,0.000314564,0.000157282,0.000825731,0.000511167
"ASV943",0.000157282,0.000235923,0.000196603,0.000629129,0.000471846,0
"ASV364",0,0.000432526,0,0.000550488,0.000393205,0
"ASV407",0,0.000668449,0.000314564,0,0,0.000314564
"ASV384",0.000117962,0.000589808,0,0.000314564,0.000196603,0.000157282
"ASV721",0.00070777,0.000353885,0,0.000825731,0.00074709,0
"ASV488",0,0.000314564,0,0.000432526,0,0.000629129
"ASV4814",0,0.000157282,0,0,0,0.003302925
"ASV543",0,0,0,0.001061655,0,0
"ASV2756",0,0,0,0.000117962,0.002831079,0
"ASV337",0,0,0.001258257,0,0.00070777,0
"ASV921",0.000511167,0,0.000393205,0,0.000589808,0.000668449
"ASV589",0.000943693,0,0,0,0,0.000786411
"ASV405",0,0.00070777,0,0,0.000393205,0
"ASV813",0.000511167,0.000275244,0.000589808,0,0.000393205,0
"ASV504",0,0.000314564,0,0.000196603,0,0.00070777
"ASV565",7.86e-05,0.00074709,0.000196603,0.000511167,0,0.000275244
"ASV781",0.000393205,0.00070777,0.000629129,0,0.000550488,0.000393205
"ASV974",0.000157282,0.000589808,0.000550488,0.000865052,3.93e-05,0.000393205
"ASV530",0.000589808,0.000471846,0,0,7.86e-05,0.000589808
"ASV1332",0,0.000314564,0.000314564,0,0,0.000983014
"ASV391",0,0.000235923,0.000235923,0.000196603,0,0.000432526
"ASV427",0.000393205,0.000157282,0,0.000353885,0,0.000786411
"ASV3223",0.00074709,0.000393205,0,0,0,0.000786411
"ASV339",0.001100975,0,0,0,0.000668449,0
"ASV2395",0.000589808,0.000235923,0,0.00070777,0,0
"ASV644",0.000196603,0.000157282,0.000353885,0.000275244,0.000196603,0.000157282
"ASV457",0,0.000550488,0,0.000157282,0.000550488,3.93e-05
"ASV8750",0,0.001022334,0,0.002241271,0,0
"ASV612",0.000275244,0.000393205,0.000353885,0,0,0
"ASV806",0,0.001258257,0,0.000432526,0,0.000589808
"ASV4815",0,0,0,0,0,0.00216263
"ASV430",0,0.000235923,0.000629129,0.000432526,0,0
"ASV669",0,0,0,0.001572822,0,0.000314564
"ASV607",0.000275244,0.000353885,0,0.000393205,0.000117962,0.000314564
"ASV697",0.000235923,0.000629129,0.000196603,7.86e-05,0.000393205,7.86e-05
"ASV471",0.000235923,0.000471846,0,0.000117962,0.000196603,0
"ASV6370",0.000353885,0,0,0,0.002595156,0
"ASV597",0,0,0,0,0.000825731,0.000511167
"ASV4821",0,0.000511167,0,0,0,0.000983014
"ASV4199",0,0,0.000471846,0,0,0.001572822
"ASV2428",0.000275244,0,0,0,0.000589808,0.000589808
"ASV518",0.000157282,0.000432526,0.000393205,0,7.86e-05,0.000275244
"ASV653",0.000629129,0.000668449,0,0,0.000511167,0.000393205
"ASV531",0.000275244,0.000196603,0.000550488,0,0,0
"ASV2432",0.000353885,0,0,0.000157282,0.000865052,0
"ASV3237",0,0,0,0,0,0.001730104
"ASV4093",0.001258257,0,0,0.000865052,0,0
"ASV4899",0.000511167,0.000511167,0.000668449,0.000275244,0,0.000275244
"ASV2477",0.000471846,0.001022334,0.000235923,0.000353885,0.000314564,0
"ASV8748",0,0.003263605,0,0,0,0
"ASV3258",0.000589808,0,0.000471846,0,0.000550488,0.000786411
"ASV997",0,0,0.000432526,0.000353885,0,0.000393205
"ASV516",0,0,0,0,0,0.001218937
"ASV570",0.000393205,0.000235923,0.000275244,0.000629129,0,0
"ASV935",0.000314564,0.000353885,0.000943693,0,0.000511167,0.000314564
"ASV801",0,0.000511167,0,0.00070777,0,0
"ASV1503",0,0.000314564,0.000432526,0.000275244,0.000235923,0
"ASV636",0.000117962,0.000117962,0.000196603,0.000471846,0.000235923,0.000314564
"ASV733",0,0,3.93e-05,0.000314564,0.000117962,0.000943693
"ASV2545",0.000865052,0,0.000196603,0.000825731,0.000157282,0.000432526
"ASV724",0.000353885,0,0.000275244,0.000275244,0.000314564,0.000196603
"ASV1305",0.000314564,0.001966027,0,0,0.000196603,0
"ASV909",0.000629129,0,0,0.000314564,0.000589808,0.000432526
"ASV4909",0.000786411,0.000275244,0.000432526,0.00070777,0.000353885,0.000353885
"ASV7043",0.000314564,0.001572822,0,0.000825731,0,0
"ASV791",0.000314564,0.000825731,0,0,0,0
"ASV2390",0,0,0.001218937,0,0,0
"ASV2614",0,0.000314564,0.000786411,0.000275244,0,0
"ASV746",0,0.000393205,0.000157282,0.000275244,0.000235923,0.000235923
"ASV6371",0,0,0,0,0.002083989,0
"ASV771",0,0,0,0,0,0.001022334
"ASV4822",0,0.000157282,0,0,0,0.000983014
"ASV2406",0,0,0,0.001218937,0,0.000471846
"ASV728",0,0.000471846,0,0.000511167,0,0.00070777
"ASV409",0.000196603,0.000904372,0,0,0,0
"ASV7513",0,0.001140296,0.001376219,0,0,0
"ASV4141",0.000393205,0,0,0.000825731,0,0.000629129
"ASV2503",0,0.00145486,0,0,0,0.00070777
"ASV4139",0.000353885,0,0,0,0.000393205,0.000275244
"ASV4835",0,0.000314564,0,0,0,0.000786411
"ASV3295",0,0.000589808,0,0.000983014,0.000353885,0
"ASV1423",0.000511167,0,0,0,0.000314564,0.000668449
"ASV713",0.000353885,0,0.000196603,0.000157282,0.000314564,0
"ASV774",0,0.000943693,0.000432526,0,0.000235923,0
"ASV2780",0.000550488,0.000314564,0,0.000432526,0.00070777,0
"ASV541",0,0,0.000904372,0,0.000353885,0
"ASV758",0,0,0,0,0.000432526,0.000629129
"ASV2418",0,0.000432526,0.000825731,0,0,0
"ASV4105",0,0,0,0,0.000393205,0.000825731
"ASV2465",0.000393205,0,0,0.000196603,0.000353885,0.000157282
"ASV2528",0,0,0.000353885,0.000353885,0.000314564,0
"ASV6383",0,0.001494181,0,0,0.000511167,0
"ASV4832",0,0,0,0.000589808,0.000511167,0.000668449
"ASV832",0,0,0.000275244,0,0.000314564,0.00070777
"ASV1047",0.000314564,0.000275244,0.000393205,0.000471846,0,0
"ASV4081",0,0.00074709,0,0.000353885,0,0
"ASV3298",0,0.000786411,0,0.000865052,0,0
"ASV606",0.000825731,0,0,7.86e-05,0,0.000117962
"ASV4825",0,0,0,0,0.000668449,0.000786411
"ASV2239",0.000157282,0,0,0.001100975,3.93e-05,0
"ASV760",0,0.000196603,0.000235923,0,0.000275244,0.000432526
"ASV5594",0,0.001297578,0,0,0,0
"ASV1091",0.000353885,0.000314564,0,0,0,0.000471846
"ASV6372",0,0,0,0,0.001415539,0
"ASV1150",0.000353885,0.000196603,0.000235923,0.000235923,0,0
"ASV4101",0,0.000471846,0.000196603,0,0.000511167,0
"ASV2515",0.000629129,0,0,0.000235923,0,0.000393205
"ASV826",0,0.000471846,0,0.000196603,0.000235923,0.000353885
"ASV2637",0,0.000432526,0,0.001336898,0,0
"ASV3468",0.000314564,0.000275244,0,0.000275244,0.000157282,0.000157282
"ASV931",0.000314564,0.000196603,0.000157282,0.000235923,0.000275244,0
"ASV6375",0.000117962,0,0.000668449,0,0.000865052,0
"ASV2424",0.00070777,0,0.000471846,0,0,0
"ASV1434",0,0.000235923,0.000589808,0.000196603,0.000589808,0
"ASV4891",0,0.000786411,0,0.000117962,0.000275244,0.000196603
"ASV3262",0.000196603,0,0.000157282,0.000157282,0.000314564,0.000314564
"ASV7512",0,0,0.001848065,0,0,0
"ASV9261",0,0,0,0.001572822,0,0
"ASV3302",0,0,0,0.000235923,0.000393205,0.000393205
"ASV3256",0,0,0.000550488,0,0.000511167,0
"ASV4883",0,0.00074709,0,0,0.000196603,0.000235923
"ASV3515",0.000393205,0,0.000275244,0.000275244,0.000157282,0
"ASV4837",0,0,0.000314564,0,0.000353885,0.00070777
"ASV4840",0.000983014,0,0,0,0,0.000668449
"ASV8769",0,0.000393205,0,0.001179616,0,0
"ASV1977",0,0,0.000275244,0.000511167,0.000471846,0.000117962
"ASV8749",0,0.001415539,0,0,0,0
"ASV6376",0,0.000393205,0,0,0.000786411,0
"ASV2175",0.000629129,7.86e-05,0,0.000235923,0.000157282,0.000117962
"ASV2733",0,0,0,0,7.86e-05,0.001297578
"ASV1214",0.000275244,0.000157282,0.000314564,0.000196603,0,0.000157282
"ASV8074",0.000668449,0,0,0.000825731,0,0
"ASV8062",0.001612142,0,0,0,0,0
"ASV7054",0.00070777,0.000550488,0,0,0,0
"ASV3402",0,0,0,0.001061655,0,0
"ASV7514",0,0,0.001061655,0,0,0
"ASV4838",0,0,0.000511167,0,0,0.000668449
"ASV1595",0.000196603,0.000511167,0,0.000314564,0,0
"ASV9262",0,0,0,0.001179616,0,0
"ASV4818",0,0,0,0,0,0.001179616
"ASV7521",0,0.000629129,0.00070777,0,0,0
"ASV9263",0,0,0,0.001022334,0,0
"ASV6484",0,0.000314564,0.000589808,0,0.000157282,0
"ASV7519",0.000353885,0,0.000983014,0,0,0
"ASV4860",0,0,0,0,0.000589808,0.000432526
"ASV7515",0,0,0.001179616,0,0,0
"ASV8773",0,0.000471846,0,0.00070777,0,0
"ASV8751",0,0.001061655,0,0,0,0
"ASV7516",0,0,0.001061655,0,0,0
"ASV8065",0.001140296,0,0,0,0,0
"ASV8067",0.001140296,0,0,0,0,0
"ASV8066",0.001140296,0,0,0,0,0
"ASV8754",0,0.001100975,0,0,0,0
"ASV4824",0,0,0,0,0,0.001022334
"ASV8068",0.001179616,0,0,0,0,0
"ASV7561",0,0.000157282,0.000353885,0.000550488,0,0
"ASV8069",0.001022334,0,0,0,0,0
"ASV9265",0,0,0,0.001022334,0,0
